ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-08-02,6183.11912076837,-2553.6446579647754,14027.045674673736,6183.11912076837,6183.11912076837,-409.3868965993192,-409.3868965993192,-409.3868965993192,-281.65448081577523,-281.65448081577523,-281.65448081577523,-127.73241578354398,-127.73241578354398,-127.73241578354398,0.0,0.0,0.0,5773.732224169051
2016-08-03,6190.022823605458,-2259.6435943897864,13366.478092284362,6190.022823605458,6190.022823605458,-891.0950512705896,-891.0950512705896,-891.0950512705896,-854.3532850799154,-854.3532850799154,-854.3532850799154,-36.74176619067426,-36.74176619067426,-36.74176619067426,0.0,0.0,0.0,5298.927772334869
2016-08-04,6196.926526442547,-1859.681345930679,14328.656057230295,6196.926526442547,6196.926526442547,99.60701402654371,99.60701402654371,99.60701402654371,57.0211365865228,57.0211365865228,57.0211365865228,42.58587744002091,42.58587744002091,42.58587744002091,0.0,0.0,0.0,6296.53354046909
2016-08-05,6203.830229279634,-2138.61198077854,14352.116723707526,6203.830229279634,6203.830229279634,36.58395150080618,36.58395150080618,36.58395150080618,-72.04913558738548,-72.04913558738548,-72.04913558738548,108.63308708819167,108.63308708819167,108.63308708819167,0.0,0.0,0.0,6240.414180780441
2016-08-07,6217.637634953813,-1352.7640856536125,15126.155096082312,6217.637634953813,6217.637634953813,601.0897703161123,601.0897703161123,601.0897703161123,405.31056445805484,405.31056445805484,405.31056445805484,195.77920585805745,195.77920585805745,195.77920585805745,0.0,0.0,0.0,6818.727405269926
2016-08-08,6224.541337790902,-208.71788782868612,14921.04106532211,6224.541337790902,6224.541337790902,963.0178152533681,963.0178152533681,963.0178152533681,747.9107025027427,747.9107025027427,747.9107025027427,215.10711275062533,215.10711275062533,215.10711275062533,0.0,0.0,0.0,7187.55915304427
2016-08-09,6231.44504062799,-2123.740715479265,14071.273841669927,6231.44504062799,6231.44504062799,-63.98960079205009,-63.98960079205009,-63.98960079205009,-281.6544808173818,-281.6544808173818,-281.6544808173818,217.6648800253317,217.6648800253317,217.6648800253317,0.0,0.0,0.0,6167.4554398359405
2016-08-11,6245.252446302166,-1526.4359404855732,14342.689588782208,6245.252446302166,6245.252446302166,229.8731787711761,229.8731787711761,229.8731787711761,57.02113658710557,57.02113658710557,57.02113658710557,172.8520421840705,172.8520421840705,172.8520421840705,0.0,0.0,0.0,6475.125625073342
2016-08-12,6252.156149139255,-1855.6227190385632,13975.158845178279,6252.156149139255,6252.156149139255,54.55923370622804,54.55923370622804,54.55923370622804,-72.04913558700255,-72.04913558700255,-72.04913558700255,126.60836929323061,126.60836929323061,126.60836929323061,0.0,0.0,0.0,6306.715382845483
2016-08-13,6259.059851976343,-1969.80877009564,14737.573037696564,6259.059851976343,6259.059851976343,63.650413224052144,63.650413224052144,63.650413224052144,-2.1855020667229033,-2.1855020667229033,-2.1855020667229033,65.83591529077505,65.83591529077505,65.83591529077505,0.0,0.0,0.0,6322.710265200396
